key,en,vi
inform,Inform,Thông báo
ok,Ok,Đồng ý
cancel,Cancel,Hủy
confirm,Confirm,Xác nhận
skip,Skip,Bỏ qua
close,Close,Đóng
loginRequired,Please login to continue,Vui lòng đăng nhập để tiếp tục
login,Login,Đăng nhập
userRole,User role,Vai trò người dùng
poweredByApp,Powered by My Flutter Base,Được cung cấp bởi My Flutter Base
pleaseSelectARoleBeforeLoginMsg,Please select a role before logging in.,Vui lòng chọn vai trò trước khi đăng nhập.
backToHomepage,Back to Homepage,Quay lại trang chủ
pageNotFound,"404 - Page Not Found","404 - Không tìm thấy trang"
back,Back,Quay lại
loginFailed,Failed to fetch user info,Không thể lấy thông tin người dùng
thisRoleIsNotSupportedYet,This role is not supported yet.,Vai trò này chưa được hỗ trợ
